home/name,away/name,home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home_result,season
Chelsea,Crystal Palace,109745,194794,103192,225796,109533.0,,176413,116594,91651,47431.0,184341.0,173879,,,40836,19419,55494,74230,49413.0,66975,55037,60252,82403.0,50471.0,80146,,,win,2019/20
Leicester City,Arsenal,17745,172850,218031,37642,111931.0,,201666,166989,172780,168580.0,203341.0,101668,,,80201,156074,101184,41270,,98745,198849,242166,111457.0,,59966,37605.0,54694.0,win,2019/20
Liverpool,Manchester City,116535,97032,38454,122798,169187.0,,116643,41733,56979,,,92217,110979.0,118748.0,33148,58621,97299,145235,27789.0,103955,59859,220566,61366.0,165809.0,37572,,,win,2019/20
Manchester United,Brighton and Hove Albion,51940,184667,95658,214590,232937.0,,176297,156689,101582,200617.0,195851.0,148225,,,131897,61933,83299,86153,78916.0,40845,116216,66242,235382.0,,115382,233425.0,,win,2019/20
Newcastle United,Bournemouth,67089,58845,101148,92159,57145.0,151119.0,50232,170137,153127,179018.0,,180974,,,225321,56917,126184,54469,171129.0,155408,153682,90105,168991.0,,75115,78007.0,,win,2019/20
Norwich City,Watford,20480,232980,198826,194799,18665.0,,195546,71738,90440,78607.0,89470.0,57127,,,9089,52940,60232,41338,40868.0,121599,108413,38439,,,94924,61566.0,,lose,2019/20
Southampton,Everton,58376,93100,88900,171771,,,58822,78056,101178,91047.0,,84939,83283.0,431131.0,111234,194164,101188,164511,102747.0,212319,55422,20467,42774.0,173807.0,66838,,,lose,2019/20
Tottenham Hotspur,Sheffield United,102884,173904,93264,80226,115556.0,,85971,45268,200826,108823.0,231372.0,78830,,,172649,146610,40386,108416,,82691,63426,47247,153723.0,79934.0,178304,27436.0,,draw,2019/20
Wolverhampton Wanderers,Aston Villa,38533,94147,107613,151589,,,87835,171317,114128,19624.0,,102057,194634.0,159533.0,79852,203368,169359,199798,149484.0,230046,122806,184704,,,213345,148508.0,193488.0,win,2019/20
Arsenal,Southampton,80201,39476,101184,41270,,,98745,192895,198849,242166.0,,59966,37605.0,54694.0,58376,58822,40146,88900,171771.0,101178,83283,91047,132015.0,,84939,220598.0,,draw,2019/20
Aston Villa,Newcastle United,21205,203368,169359,199798,149484.0,,230046,122806,85242,,,213345,114283.0,193488.0,67089,58845,106618,92159,57145.0,50232,170137,153127,179018.0,,180974,,,win,2019/20
Bournemouth,Wolverhampton Wanderers,225321,15149,56917,126184,,,155408,54469,171129,168991.0,,75115,153682.0,90105.0,38533,94147,107613,151589,,87835,171317,114128,19624.0,,102057,194634.0,159533.0,lose,2019/20
Brighton and Hove Albion,Leicester City,131897,110735,61933,78916,,,40845,109345,86153,66242.0,,115382,116216.0,74471.0,17745,172850,218031,37642,111931.0,201666,166989,172780,168580.0,203341.0,101668,,,lose,2019/20
Crystal Palace,Liverpool,40836,19419,55494,74230,49413.0,,66975,55037,60252,82403.0,50471.0,80146,,,116535,97032,38454,122798,169187.0,116643,41733,56979,,,92217,110979.0,81880.0,lose,2019/20
Everton,Norwich City,111234,194164,101188,164511,102747.0,,212319,55422,20467,42774.0,173807.0,66838,,,20480,232980,113564,198826,192303.0,193111,90440,78607,89470.0,18665.0,57127,,,lose,2019/20
