home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home/name,away/name,home_result,season
80201.0,39476.0,101184.0,41270.0,111457.0,,182539.0,195735.0,242166.0,84450.0,223340.0,54694.0,,,225321.0,56917.0,126184.0,154131.0,171129.0,152551.0,153682.0,78007.0,168991.0,,154566.0,75115.0,,Arsenal,Bournemouth,win,2019/20
131897.0,110735.0,83299.0,86153.0,78916.0,,40845.0,60307.0,74471.0,235382.0,,115382.0,233425.0,,37915.0,55605.0,39194.0,45268.0,115556.0,85971.0,62974.0,93264.0,80607.0,231372.0,78830.0,,,Brighton and Hove Albion,Tottenham Hotspur,win,2019/20
98747.0,68983.0,17761.0,51927.0,39487.0,,60586.0,433154.0,83314.0,60551.0,,60689.0,44699.0,,111234.0,106611.0,101188.0,164511.0,59949.0,212319.0,41823.0,55422.0,153133.0,42774.0,177815.0,,,Burnley,Everton,win,2019/20
60706.0,97032.0,38454.0,122798.0,169187.0,,116643.0,41733.0,15157.0,,,92217.0,110979.0,118748.0,17745.0,172850.0,218031.0,37642.0,111931.0,201666.0,166989.0,172780.0,203341.0,106837.0,101668.0,,,Liverpool,Leicester City,win,2019/20
121160.0,58621.0,121145.0,27789.0,57410.0,,103955.0,59859.0,220566.0,20664.0,103025.0,37572.0,,,38533.0,90585.0,94147.0,107613.0,,171317.0,19624.0,216054.0,151589.0,159533.0,102057.0,209353.0,,Manchester City,Wolverhampton Wanderers,lose,2019/20
67089.0,58845.0,119471.0,101148.0,92159.0,151119.0,223175.0,170137.0,179018.0,180135.0,,180974.0,,,51940.0,95658.0,18892.0,216051.0,180804.0,43670.0,156689.0,101582.0,200617.0,195851.0,176297.0,,,Newcastle United,Manchester United,win,2019/20
18499.0,232980.0,198826.0,194799.0,128348.0,,87396.0,193111.0,195546.0,71738.0,78607.0,57127.0,,,21205.0,203368.0,169359.0,149484.0,108156.0,122806.0,85242.0,184704.0,,,213345.0,114283.0,193488.0,Norwich City,Aston Villa,lose,2019/20
107265.0,80447.0,40146.0,213482.0,171771.0,,78056.0,101178.0,132015.0,,,20452.0,84939.0,83283.0,109745.0,82263.0,194794.0,103192.0,41328.0,85955.0,116594.0,184341.0,,,47431.0,173879.0,209046.0,Southampton,Chelsea,lose,2019/20
9089.0,52940.0,41945.0,41338.0,40868.0,85624.0,43250.0,121599.0,61566.0,,,73426.0,50175.0,,172649.0,146610.0,40386.0,108416.0,,82691.0,63426.0,47247.0,153723.0,79934.0,169432.0,171975.0,,Watford,Sheffield United,draw,2019/20
40694.0,55459.0,40669.0,219924.0,81012.0,,56377.0,101537.0,86934.0,18073.0,204480.0,103123.0,,,40836.0,19419.0,55494.0,74230.0,58786.0,55037.0,82403.0,86417.0,50471.0,50472.0,80146.0,,,West Ham United,Crystal Palace,lose,2019/20
21205.0,203368.0,169359.0,149484.0,108156.0,,122806.0,85242.0,184704.0,,,213345.0,114283.0,193488.0,131897.0,110735.0,83299.0,86153.0,78916.0,40845.0,60307.0,74471.0,66242.0,,115382.0,233425.0,,Aston Villa,Brighton and Hove Albion,win,2019/20
225321.0,56917.0,126184.0,54469.0,171129.0,,155408.0,153682.0,90105.0,168991.0,,154566.0,75115.0,,20480.0,232980.0,198826.0,194799.0,128348.0,87396.0,193111.0,195546.0,78607.0,18665.0,57127.0,,,Bournemouth,Norwich City,draw,2019/20
