id,name,season,defence_clean sheets,defence_goals conceded,defence_tackles,defence_tackle success %,defence_last man tackles,defence_blocked shots,defence_interceptions,defence_clearances,defence_headed clearance,defence_clearances off line,defence_recoveries,defence_duels won,defence_duels lost,defence_successful 50/50s,defence_aerial battles won,defence_aerial battles lost,defence_own goals,defence_errors leading to goal,teamplay_goals,teamplay_assists,teamplay_passes,teamplay_passes per match,teamplay_big chances created,teamplay_crosses,teamplay_cross accuracy %,teamplay_through balls,teamplay_accurate long balls,discipline_yellow cards,discipline_red cards,discipline_fouls,discipline_offsides,attack_goals,attack_goals per match,attack_headed goals,attack_goals with right foot,attack_goals with left foot,attack_penalties scored,attack_freekicks scored,attack_shots,attack_shots on target,attack_shooting accuracy %,attack_hit woodwork,attack_big chances missed,goalkeeping_saves,goalkeeping_penalties saved,goalkeeping_punches,goalkeeping_high claims,goalkeeping_catches,goalkeeping_sweeper clearances,goalkeeping_throw outs,goalkeeping_goal kicks
p432987,Vítezslav Jaros,2020/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p232917,Arijanet Muric,2019/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p41464,Marko Arnautovic,2018/19,0,0,9,0,0,13,3,5,3,0,0,0,0,0,0,0,0,0,0,4,640,22.86,6,18,0,0,0,3,0,30,21,10,0.36,1,6,3,1,0,62,32,52,1,7,0,0,0,0,0,0,0,0
p12745,Leighton Baines,2018/19,0,6,8,75,0,1,2,7,2,0,15,11,9,0,2,3,0,0,0,0,191,31.83,0,18,33,0,7,0,0,2,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p182436,Ben Woodburn,2019/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p111457,Sead Kolasinac,2021/22,0,5,0,0,0,0,4,1,1,0,2,0,2,0,0,0,0,0,0,0,14,7.0,0,0,0,0,0,1,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p17997,Phil Bardsley,2018/19,4,27,32,59,1,3,31,66,28,1,70,79,69,4,32,28,1,0,0,0,555,29.21,4,37,27,0,37,9,0,22,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p154043,Ainsley Maitland-Niles,2019/20,0,0,41,56,0,1,28,32,12,0,86,90,81,19,17,12,0,0,0,2,840,42.0,2,18,33,2,35,4,1,15,0,0,0.0,0,0,0,0,0,4,1,25,0,1,0,0,0,0,0,0,0,0
p39487,Erik Pieters,2019/20,6,35,54,59,0,1,28,48,23,0,97,110,93,4,33,18,0,0,0,4,745,31.04,5,41,27,3,29,2,0,21,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p227127,Yves Bissouma,2021/22,0,0,76,64,0,5,50,47,28,0,161,145,102,34,16,15,0,0,0,2,"1,187",45.65,2,2,0,3,44,10,0,30,0,1,0.04,0,1,0,0,0,21,5,24,1,1,0,0,0,0,0,0,0,0
