home/name,away/name,home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home_result,season
Manchester City,Watford,121160,58621,102826,27789,57410,-1,61366,220566,20664,-1,-1,103025,165809,37572,9089,60232,20145,54484,40868,108413,96767,121599,38439,-1,94924,43250,-1,win,2019/20
Newcastle United,Brighton and Hove Albion,67089,101148,106618,119471,109528,92159,153127,179018,50232,104953,-1,180974,-1,-1,131897,83299,110735,78916,-1,86153,66242,235382,40845,-1,115382,60307,74471,draw,2019/20
Southampton,Bournemouth,107265,93100,171771,58822,135720,-1,128198,78056,132015,101178,-1,83283,200439,-1,225321,126184,56917,154131,171129,78007,152551,168991,153682,-1,75115,154566,-1,lose,2019/20
West Ham United,Manchester United,37096,55459,81012,219924,40669,-1,217593,18073,101537,204480,56377,103123,-1,-1,51940,18892,184667,214590,95658,62398,156689,43670,195851,200617,176297,-1,-1,win,2019/20
Aston Villa,Burnley,21205,149484,203368,169359,108156,-1,122806,184704,85242,-1,-1,193488,213345,114283,98747,51927,68983,17761,39487,83314,40145,433154,60551,-1,60689,44699,-1,draw,2019/20
Bournemouth,West Ham United,225321,126184,56917,154131,171129,-1,78007,152551,168991,153682,-1,75115,154566,-1,37096,55459,81012,219924,40669,217593,18073,101537,204480,56377,103123,-1,-1,draw,2019/20
Chelsea,Brighton and Hove Albion,109745,135363,194794,41328,82263,-1,88894,184341,85955,-1,-1,47431,49579,173879,131897,83299,110735,78916,-1,74471,40845,86153,235382,60307,115382,227127,-1,win,2019/20
Crystal Palace,Norwich City,40836,55494,19419,74230,58786,-1,82403,86417,66975,50471,55037,80146,-1,-1,28082,194799,198826,232980,128348,193111,195546,87396,71738,78607,57127,-1,-1,win,2019/20
Everton,Manchester City,111234,164511,106611,101188,59949,-1,212319,55422,20467,41823,42774,177815,-1,-1,121160,58621,206325,27789,57410,220566,61366,59859,-1,-1,103955,205651,103025,lose,2019/20
Leicester City,Newcastle United,17745,218031,111931,37642,172850,-1,201666,166989,168580,203341,106837,101668,-1,-1,67089,101148,106618,119471,111773,196118,153127,104953,180135,179018,180974,-1,-1,win,2019/20
Manchester United,Arsenal,51940,95658,184667,18892,180804,-1,195851,200617,109322,74208,156689,176297,-1,-1,80201,101184,39476,41270,111457,242166,84450,198849,-1,-1,54694,195735,223340,draw,2019/20
Sheffield United,Liverpool,172649,146610,40386,108416,-1,-1,82691,63426,47247,153723,79934,169432,171975,-1,60706,60914,122798,169187,97032,41733,56979,116643,-1,-1,110979,118748,92217,lose,2019/20
Tottenham Hotspur,Southampton,37915,55605,39194,80226,38290,-1,85971,45268,80607,157668,231372,78830,-1,-1,107265,171771,93100,80447,-1,101178,132015,40146,78056,-1,84939,83283,128198,win,2019/20
Wolverhampton Wanderers,Watford,38533,90585,94147,107613,-1,-1,114128,19624,87835,151589,-1,159533,247632,102057,9089,60232,52940,41338,40868,121599,43250,38439,-1,-1,232185,50175,94924,win,2019/20
Arsenal,Bournemouth,80201,101184,39476,41270,111457,-1,84450,182539,223340,195735,242166,54694,-1,-1,225321,126184,56917,154131,171129,78007,152551,168991,153682,-1,75115,154566,-1,win,2019/20
Brighton and Hove Albion,Tottenham Hotspur,131897,83299,110735,78916,86153,-1,74471,40845,235382,60307,-1,115382,233425,-1,37915,39194,45268,115556,55605,85971,80607,93264,62974,231372,78830,-1,-1,win,2019/20
Burnley,Everton,98747,51927,68983,17761,39487,-1,83314,60586,433154,60551,-1,60689,44699,-1,111234,164511,106611,101188,59949,212319,55422,153133,41823,42774,177815,-1,-1,win,2019/20
Liverpool,Leicester City,60706,122798,169187,38454,97032,-1,116643,15157,41733,-1,-1,110979,118748,92217,17745,218031,111931,37642,172850,166989,172780,201666,203341,106837,101668,-1,-1,win,2019/20
Manchester City,Wolverhampton Wanderers,121160,58621,121145,27789,57410,-1,103955,220566,20664,103025,59859,37572,-1,-1,38533,90585,94147,107613,-1,216054,19624,159533,151589,171317,102057,209353,-1,lose,2019/20
Newcastle United,Manchester United,67089,101148,58845,119471,92159,151119,180135,170137,223175,179018,-1,180974,-1,-1,51940,95658,18892,216051,180804,195851,101582,156689,43670,200617,176297,-1,-1,win,2019/20
Norwich City,Aston Villa,18499,194799,198826,232980,128348,-1,193111,195546,87396,71738,78607,57127,-1,-1,21205,149484,203368,169359,108156,122806,184704,85242,-1,-1,193488,213345,114283,lose,2019/20
Southampton,Chelsea,107265,171771,80447,213482,40146,-1,132015,78056,101178,-1,-1,83283,20452,84939,109745,194794,41328,103192,82263,116594,184341,85955,-1,-1,47431,209046,173879,lose,2019/20
Watford,Sheffield United,9089,52940,41945,41338,40868,85624,121599,43250,61566,-1,-1,50175,73426,-1,172649,146610,40386,108416,-1,82691,63426,47247,153723,79934,169432,171975,-1,draw,2019/20
West Ham United,Crystal Palace,40694,55459,81012,219924,40669,-1,86934,18073,101537,204480,56377,103123,-1,-1,40836,55494,19419,74230,58786,86417,55037,50471,82403,50472,80146,-1,-1,lose,2019/20
Aston Villa,Brighton and Hove Albion,21205,149484,203368,169359,108156,-1,122806,184704,85242,-1,-1,193488,213345,114283,131897,83299,110735,78916,86153,60307,40845,74471,66242,-1,115382,233425,-1,win,2019/20
Bournemouth,Norwich City,225321,126184,56917,54469,171129,-1,168991,153682,155408,90105,-1,75115,154566,-1,20480,194799,198826,232980,128348,193111,195546,87396,78607,18665,57127,-1,-1,draw,2019/20
Chelsea,Newcastle United,109745,194794,41328,103192,82263,-1,88894,184341,85955,-1,-1,47431,209046,173879,67089,101148,58845,119471,92159,180135,170137,223175,179018,-1,180974,-1,-1,win,2019/20
Crystal Palace,Manchester City,20066,74230,19419,49413,55494,-1,82403,86417,66975,50471,55037,80146,-1,-1,121160,220566,121145,102826,27789,61366,59859,20664,-1,-1,103955,205651,165809,lose,2019/20
Everton,West Ham United,111234,164511,106611,101188,102747,-1,20467,153133,173807,120250,100649,212319,-1,-1,40694,81012,219924,40669,105717,101537,18073,86934,204480,217593,103123,-1,-1,win,2019/20
Leicester City,Burnley,17745,218031,111931,37642,172850,-1,166989,172780,201666,168580,203341,101668,-1,-1,98747,51927,68983,17761,39487,433154,83314,90517,60551,-1,60689,44683,-1,win,2019/20
Manchester United,Liverpool,51940,95658,184667,58893,-1,-1,18892,195851,101582,214590,-1,176297,200617,156689,116535,60914,122798,169187,97032,41733,56979,116643,-1,-1,92217,110979,152760,draw,2019/20
Sheffield United,Arsenal,172649,146610,40386,108416,-1,-1,82691,63426,47247,153723,79934,178304,27436,-1,80201,101184,39476,41270,111457,195735,84450,223340,200089,242166,54694,-1,-1,win,2019/20
Tottenham Hotspur,Watford,102884,39194,173904,55605,-1,-1,45268,157668,80226,38290,-1,78830,95715,108823,9089,60232,52940,41338,40868,121599,89085,43250,-1,-1,50175,61566,-1,draw,2019/20
Wolverhampton Wanderers,Southampton,38533,94147,41727,90585,-1,-1,19624,151589,114128,159533,171317,102057,209353,-1,107265,171771,93100,80447,-1,78056,213482,132015,40146,-1,84939,101178,83283,draw,2019/20
